title,bpm,genres,artists
Divinity - filous Remix,100.0,"edm, electro house, pop dance, complextro, tropical house, toronto indie, deep tropical house, progressive electro house","Porter Robinson, Amy Millan, filous"
False Reactions,120.0,"edm, vapor soul",Lastlings
Lost My Head,115.0,"chill house, tropical house","Jane Good, Portugal Sunset, Honey"
The Taste,120.0,"electro house, pop edm, gaming edm",ellis
PCP (feat. Nick Row),122.0,"traprun, future bass, electronic trap, vapor twitch","KRANE, B. Lewis, Nick Row"
Circles,108.0,"chill house, tropical house","blue my mind, Guille Alvarez, Spijk"
Monarch,128.0,"electronic trap, vapor twitch, future bass, gaming edm, traprun, melodic dubstep, pop edm, singaporean electronic, singaporean pop","KRANE, MYRNE"
Lost In Outer Space,110.0,,OMAS
SBCNCSLY,116.0,"south african house, south african pop dance, r&b, south african pop","Black Coffee, Sabrina Claudio"
Golden Sunset,112.0,stutter house,Lavern
Move Me,120.0,stutter house,Lavern
Sorry,121.0,"deep groove house, house, uk dance","TCTS, Nonô"
Samburu Tribe,121.0,"afro house, drumfunk",Tekniq
Alone,110.0,"electronic trap, traprun, bass trap",Jordan Comolli
Running,120.0,,Zerb
Are You,112.0,"tropical house, deep tropical house",Sons Of Maria
Settle For Less,118.0,"edm, electro house, r&b","ZHU, Sabrina Claudio"
letstalkaboutit,112.0,"pop rap, escape room, hip hop, indiana hip hop, underground hip hop, indie soul, lgbtq+ hip hop, rap, portland hip hop, alternative r&b, alternative hip hop","KAYTRAMINÉ, Aminé, KAYTRANADA, Freddie Gibbs"
Petrichor,120.0,"focus trance, organic house",RIGOONI
Something About Us.,115.0,,ANDREWBATES
FORMATIONS,114.0,australian dance,Mild Minds
Take Me Home,114.0,tropical house,"Saco, Sebastiën"
losing again,120.0,"chill house, tropical house",le moon
I Need You,112.0,"tropical house, chill house",Coffee Cub
Your Touch,120.0,"tropical house, chill house",Ruffnux
Inside Mine,110.0,new french touch,"Keanler, Lauwz"
Don't Hold Back,117.0,"vapor soul, edm, indie soul",DRAMA
Morph,125.0,traprun,TWERL
Bad Love,104.0,"indietronica, uk pop, metropopolis, pop rap, dance pop, dancehall, pop","Sean Paul, Ellie Goulding"
I Got You - SNBRN Remix,115.0,"edm, pop dance, pop, electro house, dance pop, post-teen pop, pop edm, tropical house, electropop, uk pop, house, bass house","Bebe Rexha, SNBRN"
WHOA WAIT,114.0,"chillhop, psychedelic hip hop","Bluestaeb, cay caleb., Ric Wilson"
Feel My Needs,122.0,"uk house, house, deep house, deep groove house, pop dance, tropical house, vocal house, disco house, uk dance, edm",WEISS
#RICHAXXHAITIAN,112.0,"escape room, melodic rap, cali rap, psychedelic hip hop, lgbtq+ hip hop, indie soul, drumless hip hop, boom bap, new jersey rap, alternative hip hop, chill abstract hip hop, alternative r&b","Mach-Hommy, KAYTRANADA, 03 Greedo"
Someday (Latroit Edition),112.0,edm,"Lliam Taylor, Latroit, Brea"
IF THIS IS A DREAM,96.0,"electro house, brostep, future bass, vapor twitch",k?d
My Oh My,117.0,pop,Ava Max
"U Say (feat. Tyler, The Creator & Jay Prince)",115.0,"canadian hip hop, underground hip hop, uk alternative hip hop, alternative r&b, rap, hip hop","GoldLink, Tyler, The Creator, Jay Prince"
Peace Be Unto You (PBUY),116.0,"nigerian pop, afrobeats",Asake
Vamonos,121.0,afro house,"Moojo, Gabsy"
Turtle Ship,121.0,,Ghasper
Addicted,120.0,pop,"Zerb, The Chainsmokers, Ink"
FRIENDS - Borgeous Remix,115.0,"dutch house, edm, pop dance, progressive house, electro house, pop, progressive electro house, brostep","Marshmello, Anne-Marie, Borgeous"
Lost My Way,115.0,melodic house,"LöKii, Lipless"
ready to forget you,120.0,"tropical house, chill house",le moon
Feel That Way,118.0,pop edm,ellis
Black Mascara.,121.0,"uk pop, uk contemporary r&b",RAYE
Got Me Like,112.0,stutter house,Lavern
Dientes,115.0,"trap latino, hip hop, reggaeton colombiano, south carolina hip hop, rap, urban contemporary, atl hip hop, r&b, reggaeton, miami hip hop, pop rap, dance pop, urbano latino, contemporary r&b, pop","J Balvin, USHER, DJ Khaled"
Away - Two Lanes Remix,118.0,"indie electropop, vapor soul, electropop, tropical house, uk dance","Benji Lewis, TWO LANES"
Experience,112.0,"vapor soul, r&b, electropop, pop, pop r&b, indie soul, nu disco, alternative r&b, uk dance","Victoria Monét, Khalid, SG Lewis"
Dragon Anthem,118.0,cruise,Candy Bleakz
Right Now (Robin Schulz VIP Remix),120.0,"post-teen pop, pop dance, tropical house, dance pop, electro house, pop rap, edm, deep euro house, deep house, german dance, pop","Nick Jonas, Robin Schulz"
Us - Selected Mix,115.0,chinese electronic,Chace
Shu-Peru,115.0,"nigerian pop, afropop, azontobeats, afrobeats",Kizz Daniel
KAYTRANADA_WAITIN_115 BPM,115.0,"lgbtq+ hip hop, indie soul, escape room, experimental r&b, afrofuturism, alternative r&b","Kelela, KAYTRANADA"
Otilo (Izz Gone),115.0,"nigerian pop, cruise, afrobeats","Poco Lee, Hotkid"
Ithaque,113.0,new french touch,Sara Costa
Roll (Burbank Funk) - KAYTRANADA Remix,112.5,"alternative r&b, lgbtq+ hip hop, indie soul, escape room","The Internet, KAYTRANADA"
Happiness (feat. Asake & Gunna),105.0,"nigerian pop, rap, trap, afrobeats, melodic rap, atl hip hop","Sarz, Asake, Gunna"
Unspoken,73.5,"vapor twitch, electropop, indie electropop, indie poptimism, pop edm, future bass","Daktyl, MOONZz"
Dirty Thoughts,122.0,"turkish deep house, turkish edm",Ilkay Sencan
Bola Rebola,130.0,"funk rj, afrofuturismo brasileiro, pop nacional, reggaeton, urbano latino, reggaeton colombiano, funk carioca, trap latino, funk pop, bass trap, pagode baiano, pop, funk ostentacao","Tropkillaz, J Balvin, Anitta, ZAAC"
Something About You,115.0,"aussietronica, house, gauze pop",Hayden James
